Question ID,Question Text,KC ID,KC Name,KC Description,Distractors,Student Errors (if any),Item Category,Item,Option A,Option B,Option C,Option D,Diagnosis A,Diagnosis B,Diagnosis C,Diagnosis D,Priority
product_rating_comparison_001,"### Product Rating Comparison Using Loops and Conditionals
Complete the function `compareProductRatings(n, ratings, standard)`, which compares product ratings against a standard rating value and returns the comparison result.
Each product rating is compared with the standard:
- count ratings greater than the standard
- count ratings less than the standard
- ratings equal to the standard are not counted
Based on the comparison:
- return `""better""` if ratings greater than the standard are more
- return `""worse""` if ratings less than the standard are more
- return `""equal""` if both counts are the same

#### Input Format
- `n` an integer representing the number of product ratings
- `ratings` an array of `n` comma-separated integers representing product ratings
- `standard` an integer representing the standard rating value

#### Output Format
- Return one of the following strings:
  - `""better""`
  - `""worse""`
  - `""equal""`

#### Constraints
- 1 <= `n` <= 10^5
- -10^9 <= `ratings[i]` <= 10^9
- -10^9 <= `standard` <= 10^9

#### Example
###### Sample Input
6
[1, 3, 0, -1, 4, 3]
2

###### Sample Output
equal

###### Explanation
The product ratings are compared with the standard value `2`.
- Ratings greater than the standard `3, 4, 3` count = `3`
- Ratings less than the standard `1, 0, -1` count = `3`
Since both counts are the same, the function returns:
`equal`",KC-01,Array traversal with loop,"Iterate through all n elements of the ratings array using a loop, visiting each element exactly once.","(a) for i in range(n-1) — skips last element
(b) for i in range(1, n) — skips first element
(c) for rating in ratings [correct]
(d) for rating in ratings[1:] — skips first element","Student uses range(n-1) missing the last product rating
Student starts range at 1 skipping the first element
Student uses hardcoded count instead of n",Fixing bug,"For ratings=[1,3,0,-1,4,3], n=6, standard=2, this code returns ""better"" instead of ""equal"". Select the fix.

def compareProductRatings(n, ratings, standard):
    better = 0
    worse = 0
    for i in range(n - 1):
        if ratings[i] > standard:
            better += 1
        elif ratings[i] < standard:
            worse += 1
    if better > worse:
        return ""better""
    elif worse > better:
        return ""worse""
    else:
        return ""equal""",Change range(n-1) to range(n) [correct],Change range(n-1) to range(n+1),"Change range(n-1) to range(1, n)",None of the above,Demonstrates KC-01 mastery,Missing KC-01 — causes IndexError on last access,Missing KC-01 — skips first element,Missing KC-01 — skips alternate elements,KC-01_Debugging
,,,,,,,Fill in the blanks,"Complete the loop so it visits every element of ratings exactly once.

better = 0
worse = 0
for rating in ____:
    if rating > standard:
        better += 1
    elif rating < standard:
        worse += 1",ratings[1:],ratings[:-1],ratings [correct],None of the above,Missing KC-01 — skips first element,Missing KC-01 — skips last element,Demonstrates KC-01 mastery,Missing KC-01 — iterates over integers; would need ratings[i] not rating,
,,,,,,,Reading question,"For ratings=[1, 3, 0, -1, 4, 3] and n=6, how many iterations does `for i in range(n)` execute?",5,6 [correct],7,None of the above,Missing KC-01 — off-by-one error,Demonstrates KC-01 mastery,Missing KC-01 — thinks range is inclusive,"No understanding — loop count depends on n, not values",
,,,,,,,Debugging the question,"For ratings=[1,3,0,-1,4,3], n=6, standard=2, code returns ""better"" (better=3, worse=2) instead of ""equal"" (better=3, worse=3). What is the root cause?

for i in range(n - 1):
    if ratings[i] > standard:
        better += 1
    elif ratings[i] < standard:
        worse += 1",The comparison operators are wrong,"range(n-1) stops at index 4, skipping ratings[5]=3 which is below standard, so worse_count is undercounted [correct]",The counters are initialized incorrectly,None of the above,Missing KC-01 — misidentifies the issue,Demonstrates KC-01 mastery,Guessing,Missing KC-01 — irrelevant fix,
,,,,,,,Tweaking the code,"Rewrite the index-based loop as a cleaner for-each loop that visits every element.

for i in range(n):
    if ratings[i] > standard:
        better += 1
    elif ratings[i] < standard:
        worse += 1",Replace with: for rating in ratings: if rating > standard: better += 1 elif rating < standard: worse += 1 [correct],"Replace with: for i in range(1, n): if ratings[i] > standard: better += 1 elif ratings[i] < standard: worse += 1",Replace with: for rating in ratings[:-1]: if rating > standard: better += 1 elif rating < standard: worse += 1,None of the above,Demonstrates KC-01 mastery,Missing KC-01 — skips first element,Missing KC-01 — skips last element,No understanding — invalid syntax,
,,KC-02,Correct comparison operators (> and <),Use strictly greater than (>) to count ratings above standard and strictly less than (<) for ratings below standard. Using >= or <= incorrectly includes equal values.,"(a) >= instead of > — counts equal as better
(b) if rating > standard [correct]
(c) != standard — cannot distinguish better from worse
(d) <= instead of < — counts equal as worse","Student uses >= instead of > causing equal ratings to be counted as better
Student confuses > and < operator directions
Student uses != standard thinking it identifies non-standard values correctly",Fixing bug,"For ratings=[2, 3, 1], standard=2, code returns ""better"" (better=2, worse=1) instead of ""equal"" (better=1, worse=1). Select the minimal fix.

for rating in ratings:
    if rating >= standard:
        better += 1
    elif rating < standard:
        worse += 1",Change >= to > [correct],Change >= to <=,Change >= to !=,None of the above,Demonstrates KC-02 mastery,Missing KC-02 — now counts equal as worse instead,"Missing KC-02 — wrong logic, cannot distinguish better from worse",Missing KC-02 — creates double counting for equal ratings,KC-02_Debugging
,,,,,,,Fill in the blanks,"Complete the conditions to count ratings strictly above and strictly below the standard.

for rating in ratings:
    if rating ____ standard:
        better += 1
    elif rating ____ standard:
        worse += 1",>= and <=,> and < [correct],!= and ==,None of the above,Missing KC-02 — counts equal values in both counters,Demonstrates KC-02 mastery,"Missing KC-02 — inverted logic, counts equal as worse",Missing KC-02 — equal ratings counted in worse via <=,
,,,,,,,Reading question,"For ratings=[5, 2, 2], standard=2, what is better_count after the loop using strictly > and <?",0,1 [correct],2,None of the above,Missing KC-02 — confuses > with >=,Demonstrates KC-02 mastery,Missing KC-02 — counts equal ratings as better,No understanding — counts all elements,
,,,,,,,Debugging the question,"For ratings=[3, 3, 3], standard=3, code returns ""better"" (better=3, worse=0) instead of ""equal"". What is the root cause?

for rating in ratings:
    if rating >= standard:
        better += 1
    elif rating < standard:
        worse += 1",The loop iterates the wrong number of times,">= counts rating==standard as better, inflating better_count with all three equal values [correct]",worse counter is never incremented,None of the above,Missing KC-02 — misidentifies the issue,Demonstrates KC-02 mastery,Missing KC-02 — partially right observation but misses root cause,No understanding — == would never count anything as better,
,,,,,,,Tweaking the code,"Change only the comparison operators so equal ratings are excluded from both counts.

for rating in ratings:
    if rating >= standard:
        better += 1
    elif rating <= standard:
        worse += 1",Change >= to > and <= to < [correct],Change only >= to >,Change only <= to <,None of the above,Demonstrates KC-02 mastery,Missing KC-02 — equal still counted as worse via <=,Missing KC-02 — equal still counted as better via >=,Missing KC-02 — verbose but same effect; misses conceptual root,
,,KC-03,Dual counter initialization and increment,"Initialize both better_count and worse_count to 0 before the loop, and increment only the appropriate counter inside each conditional branch.","(a) better_count = 1, worse_count = 1 — wrong initialization
(b) better_count = 0, worse_count = 0 [correct]
(c) better_count = worse_count = -1 — wrong initialization
(d) Single diff counter (diff += 1 better, diff -= 1 worse) — loses count information","Student initializes counter to 1 instead of 0
Student uses a single difference counter instead of two separate counters
Student increments both counters on every iteration",Fixing bug,"For ratings=[3, 1], standard=2, code returns ""equal"" with better=2, worse=2 but expected better=1, worse=1 (counts are inflated). Select the fix.

def compareProductRatings(n, ratings, standard):
    better = 1
    worse = 1
    for rating in ratings:
        if rating > standard:
            better += 1
        elif rating < standard:
            worse += 1
    ...",Change better = 1 and worse = 1 to better = 0 and worse = 0 [correct],Change only better = 1 to better = 0,Change only worse = 1 to worse = 0,None of the above,Demonstrates KC-03 mastery,Missing KC-03 — worse still off by one,Missing KC-03 — better still off by one,Missing KC-03 — works as a patch but wrong conceptual approach,KC-03_Debugging
,,,,,,,Fill in the blanks,"Initialize both counters correctly before the loop begins.

____ = 0
____ = 0
for rating in ratings:
    if rating > standard:
        better += 1
    elif rating < standard:
        worse += 1",count and total,better and worse [correct],total and diff,None of the above,Missing KC-03 — misnamed variables (code references better/worse),Demonstrates KC-03 mastery,Missing KC-03 — diff loses directional information,Missing KC-03 — wrong initialization value,
,,,,,,,Reading question,"After processing ratings=[3, 1, 2], standard=2 with better=0 and worse=0 initialized, what are the final values?","better=1, worse=1 [correct]","better=2, worse=1","better=1, worse=2",None of the above,Demonstrates KC-03 mastery,Missing KC-03 — counts equal value (2) as better,Missing KC-03 — counts equal value (2) as worse,Missing KC-03 — counts equal value in both counters,
,,,,,,,Debugging the question,"For ratings=[3], standard=2, code reports better=2, worse=0 instead of expected better=1, worse=0. What is wrong?

better = 1
worse = 0
for rating in ratings:
    if rating > standard:
        better += 1",The comparison operator is wrong,"better is initialized to 1 instead of 0, giving an extra phantom count before the loop starts [correct]",The loop iterates twice,None of the above,Missing KC-03 — misidentifies the issue,Demonstrates KC-03 mastery,No understanding,Missing KC-03 — irrelevant to this bug,
,,,,,,,Tweaking the code,"A student used a single difference counter. Refactor to use two separate counters tracking better and worse independently.

def compareProductRatings(n, ratings, standard):
    diff = 0
    for rating in ratings:
        if rating > standard:
            diff += 1
        elif rating < standard:
            diff -= 1
    if diff > 0:
        return ""better""
    elif diff < 0:
        return ""worse""
    else:
        return ""equal""","Replace diff with two counters: better=0, worse=0; increment better for better ratings, worse for worse ratings; compare better vs worse directly [correct]",Rename diff to count and keep the same logic,Add abs(diff) check before the if statements,None of the above,Demonstrates KC-03 mastery,Missing KC-03 — still single counter,No understanding — abs(diff) breaks directional logic,"Missing KC-03 — still single counter, just scaled",
,,KC-04,Equality exclusion (not counted),Ratings equal to the standard must not be counted in either better_count or worse_count. Use if/elif without any else branch that increments a counter.,"(a) else: better += 1 — incorrectly counts equal as better
(b) else: worse += 1 — incorrectly counts equal as worse
(c) else: equal_count += 1 — adds unnecessary third counter
(d) Only if/elif with no counter-incrementing else [correct]","Student adds else: better += 1 treating equal as better
Student adds else: equal_count += 1 unnecessarily
Student counts equal ratings in both counters simultaneously",Fixing bug,"For ratings=[2, 3, 1], standard=2, code returns ""better"" (better=2, worse=1) instead of ""equal"" (better=1, worse=1). Select the minimal fix.

for rating in ratings:
    if rating > standard:
        better += 1
    elif rating < standard:
        worse += 1
    else:
        better += 1",Remove the else: better += 1 block entirely [correct],Change else: better += 1 to else: worse += 1,Change else: better += 1 to else: equal_count += 1,None of the above,Demonstrates KC-04 mastery,Missing KC-04 — now counts equal as worse instead,Missing KC-04 — adds unnecessary third counter; does not affect return but wrong concept,Missing KC-04 — double counts equal ratings in both counters,KC-04_Tweaking the code
,,,,,,,Fill in the blanks,"Complete the conditional structure so equal ratings are NOT counted in either counter.

for rating in ratings:
    if rating > standard:
        better += 1
    ________________",else: worse += 1,elif rating < standard: worse += 1 [correct],else: better += 1,None of the above,Missing KC-04 — equal ratings counted as worse,Demonstrates KC-04 mastery,Missing KC-04 — equal ratings counted as better,Missing KC-04 — explicitly counts equal ratings as worse,
,,,,,,,Reading question,"For ratings=[2, 2, 2], standard=2, what should better and worse be after the loop (equal ratings are not counted)?","better=3, worse=0","better=0, worse=3","better=0, worse=0 [correct]",None of the above,Missing KC-04 — counts equal as better,Missing KC-04 — counts equal as worse,Demonstrates KC-04 mastery,Missing KC-04 — counts equal in both counters,
,,,,,,,Debugging the question,"For ratings=[2], standard=2, code returns ""worse"" (worse=1, better=0) instead of ""equal"". What is the root cause?

for rating in ratings:
    if rating > standard:
        better += 1
    else:
        worse += 1",The comparison operator should be >=,"else catches all non-better cases including rating==standard, so the equal rating is incorrectly counted as worse [correct]",The counter is initialized incorrectly,None of the above,Missing KC-04 — wrong fix direction,Demonstrates KC-04 mastery,Missing KC-04 — misidentifies the issue,Missing KC-04 — irrelevant,
,,,,,,,Tweaking the code,"Remove only the part that incorrectly counts equal ratings. Keep better and worse counting correct.

for rating in ratings:
    if rating > standard:
        better += 1
    elif rating < standard:
        worse += 1
    else:
        better += 1
        worse += 1",Remove the else block entirely [correct],Change else: to elif rating == standard:,Change else: better += 1; worse += 1 to elif rating >= standard: better += 1,None of the above,Demonstrates KC-04 mastery,"Missing KC-04 — still explicitly counts equal, just labels it",Missing KC-04 — still counts equal as better via >=,No understanding — decrementing is semantically wrong,
,,KC-05,Three-way conditional return,"After the loop, compare better and worse: return 'better' if better > worse, return 'worse' if worse > better, return 'equal' otherwise. All three cases must be explicitly covered.","(a) if/else only — misses equal case
(b) Correct if/elif/else [correct]
(c) Missing else — function returns None for equal
(d) Compares in wrong order — returns wrong string","Student omits the else clause and function returns None when counts are equal
Student uses if/else only, treating non-better as worse (misses equal)
Student compares counters in wrong order",Fixing bug,"For a case where better=3 and worse=3, function returns None instead of ""equal"". Select the fix.

if better > worse:
    return ""better""
elif worse > better:
    return ""worse""","Add else: return ""equal"" [correct]","Add elif better == worse: return ""better""",Change elif to else,None of the above,Demonstrates KC-05 mastery,"Missing KC-05 — ""equal"" case returns ""better"" instead","Missing KC-05 — else now combines worse > better and equal, returning ""worse"" for equal",Missing KC-05 — explicitly returns None for equal case,KC-05_Tweaking the code
,,,,,,,Fill in the blanks,"Complete the keywords so all three cases are handled correctly.

if better > worse:
    return ""better""
____ worse > better:
    return ""worse""
____:
    return ""equal""",else and elif,elif and else [correct],elif and elif,None of the above,"Missing KC-05 — syntax error, else cannot have a condition",Demonstrates KC-05 mastery,"Missing KC-05 — no final else, returns None for equal",No understanding — invalid Python keywords in this context,
,,,,,,,Reading question,"If better_count=5 and worse_count=5 after the loop, what should the function return?","""better""","""worse""","""equal"" [correct]",None of the above,Missing KC-05 — wrong comparison result,Missing KC-05 — wrong comparison result,Demonstrates KC-05 mastery,Missing KC-05 — forgot the else clause,
,,,,,,,Debugging the question,"For a case where better=3 and worse=3, the function returns None. What is the root cause?

if better > worse:
    return ""better""
elif worse > better:
    return ""worse""",The comparison logic is inverted,"There is no else clause to handle the equal case, so the function falls off the end returning None [correct]",The counter logic accumulated wrong values,None of the above,Missing KC-05 — misidentifies the issue,Demonstrates KC-05 mastery,Missing KC-05 — wrong layer of the problem,No understanding,
,,,,,,,Tweaking the code,"Add only what is needed so the function handles all possible outcomes.

if better > worse:
    return ""better""
if worse > better:
    return ""worse""","Add else: return ""equal"" after the second if [correct]","Add elif better == worse: return ""better"" after second if",Change the second if to else,None of the above,Demonstrates KC-05 mastery,"Missing KC-05 — ""equal"" case returns ""better""","Missing KC-05 — else combines worse > better and equal, always returns ""worse"" for non-better","Missing KC-05 — returns ""equal"" immediately before any comparison runs",
,,KC-06,Return string literals correctly,"The function must return exact lowercase string literals ""better"", ""worse"", or ""equal"". Using print() causes the function to return None; wrong capitalization or returning the counter variable also causes failures.","(a) return ""better"" [correct]
(b) print(""better"") — displays but returns None
(c) return ""Better"" — wrong capitalization
(d) return better — returns integer count, not string","Student uses print instead of return causing None to be returned to grader
Student returns the counter variable (integer) instead of the string
Student uses wrong capitalization like 'Better' or 'BETTER'",Fixing bug,"This function fails all grader tests. Select the minimal fix.

def compareProductRatings(n, ratings, standard):
    better = 0
    worse = 0
    for rating in ratings:
        if rating > standard:
            better += 1
        elif rating < standard:
            worse += 1
    if better > worse:
        print(""better"")
    elif worse > better:
        print(""worse"")
    else:
        print(""equal"")",Replace all print() calls with return [correct],Add return None at the end of the function,"Replace print(""better"") with return print(""better"")",None of the above,Demonstrates KC-06 mastery,Missing KC-06 — still returns None explicitly,Missing KC-06 — return print() returns None,Missing KC-06 — flushing has no effect on return value,KC-06_Debugging
,,,,,,,Fill in the blanks,"Complete the statements so the grader receives the correct string value.

if better > worse:
    ____ ""better""
elif worse > better:
    ____ ""worse""
else:
    ____ ""equal""",print,return [correct],yield,None of the above,Missing KC-06 — prints to screen but returns None,Demonstrates KC-06 mastery,"Missing KC-06 — returns a generator object, not a string",No understanding — not a valid Python keyword,
,,,,,,,Reading question,"What value does the grader receive if the function body only contains print(""equal"") with no return statement?","""equal""",0,None [correct],None of the above,Missing KC-06 — confuses print output with return value,Missing KC-06 — no basis for this answer,Demonstrates KC-06 mastery,No understanding,
,,,,,,,Debugging the question,"Function prints the correct string on screen but fails all grader tests. Why?

if better > worse:
    print(""better"")
elif worse > better:
    print(""worse"")
else:
    print(""equal"")",The comparison operators are wrong,print() displays output but does not return a value — the grader reads the return value which is None [correct],Should use sys.stdout.write instead of print,None of the above,Missing KC-06 — misidentifies the issue,Demonstrates KC-06 mastery,No understanding,No understanding,
,,,,,,,Tweaking the code,"Modify the function so the grader can read the correct result from the return value.

if better > worse:
    print(""better"")
elif worse > better:
    print(""worse"")
else:
    print(""equal"")","Replace each print(""x"") with return ""x"" [correct]",Add return None after all print statements,"Change each print(""x"") to return print(""x"")",None of the above,Demonstrates KC-06 mastery,Missing KC-06 — still returns None,"Missing KC-06 — return print() evaluates print (displays), then returns None",No understanding — lambda wrapping does not change return value,
,,KC-07,No input reading inside function,"The function receives n, ratings, and standard as parameters. Do not call input() or read from stdin inside the function — use only the parameters passed by the caller.","(a) Calls n = int(input()) inside function — violates parameter contract
(b) Uses the n parameter directly [correct]
(c) Uses len(ratings) instead of n — redundant but works
(d) Hardcodes n = 6 — wrong for other inputs","Student calls input() inside function to re-read n or standard
Student hardcodes values instead of using parameters
Student reads ratings from stdin instead of using the parameter",Fixing bug,"This function hangs when called as compareProductRatings(6, [1,3,0,-1,4,3], 2). Select the fix.

def compareProductRatings(n, ratings, standard):
    n = int(input())
    ratings = list(map(int, input().split()))
    standard = int(input())
    better = 0
    worse = 0
    ...",Remove all three input() lines and use the parameters directly [correct],"Keep input() only for n, remove the other two",Move all input() calls before the function definition,None of the above,Demonstrates KC-07 mastery,Missing KC-07 — still partially reads from stdin,Missing KC-07 — moves problem but does not fix function contract,Missing KC-07 — hides the error but does not fix the logic,KC-07_Fixing bug
,,,,,,,Fill in the blanks,"Complete the function header so it uses parameters, not stdin.

def compareProductRatings(____, ____, ____):
    better = 0
    worse = 0
    for rating in ratings:
        ...","n=int(input()), ratings=input().split(), standard=int(input())","n, ratings, standard [correct]","input(), input(), input()",None of the above,Missing KC-07 — reads from stdin in parameter defaults,Demonstrates KC-07 mastery,No understanding — input() is not a valid parameter name,"Missing KC-07 — no parameters, function cannot access any data",
,,,,,,,Reading question,"Where should n, ratings, and standard come from when executing inside compareProductRatings?",Read from stdin using input(),Read from a file using open(),From the function's parameters as passed by the caller [correct],None of the above,Missing KC-07 — incorrect source,Missing KC-07 — incorrect source,Demonstrates KC-07 mastery,Missing KC-07 — global state is fragile and violates function contract,
,,,,,,,Debugging the question,"When called as compareProductRatings(6, [1,3,0,-1,4,3], 2), the function hangs waiting for keyboard input. What is the root cause?

def compareProductRatings(n, ratings, standard):
    n = int(input())",The list format is wrong,"input() inside the function pauses and waits for stdin, but the caller already provided all values as arguments [correct]",The function has too many parameters,None of the above,Missing KC-07 — misidentifies the issue,Demonstrates KC-07 mastery,No understanding,No understanding,
,,,,,,,Tweaking the code,"Remove all input() calls and make the function use only its parameters.

def compareProductRatings(n, ratings, standard):
    n = int(input())
    standard = int(input())
    better = 0
    worse = 0
    for rating in ratings:
        if rating > standard:
            better += 1
        elif rating < standard:
            worse += 1
    ...",Delete the n = int(input()) and standard = int(input()) lines [correct],Change input() to raw_input(),Add a default value n=0 to the parameter list,None of the above,Demonstrates KC-07 mastery,Missing KC-07 — raw_input() still reads from stdin (Python 2 only),Missing KC-07 — default value does not remove input() call inside function,"Missing KC-07 — still reads from stdin, just at a different point",
,,KC-08,O(n) efficiency — single pass,A single pass through ratings counting both better and worse simultaneously is sufficient. n can be up to 10^5; nested loops or multiple separate passes are wasteful.,"(a) Nested loop comparing each rating against all others — O(n^2)
(b) Single pass with two counters — O(n) [correct]
(c) Sort first then count — O(n log n), unnecessary
(d) Two separate passes (one for better, one for worse) — wasteful","Student sorts ratings before iterating — adds O(n log n) overhead
Student uses nested loops — TLE on 10^5 inputs
Student makes two separate passes through the array",Fixing bug,"This code is correct but times out on n=10^5. Select the minimal fix.

def compareProductRatings(n, ratings, standard):
    better = 0
    worse = 0
    for i in range(n):
        for j in range(n):
            if ratings[i] > standard:
                better += 1
    ...",Replace nested loops with a single loop counting better and worse in one pass [correct],Change inner loop to range(1),Add a break inside the inner loop after incrementing better,None of the above,Demonstrates KC-08 mastery,Missing KC-08 — reduces but does not eliminate the inner loop,"Missing KC-08 — partial improvement, inner loop still runs for non-better elements",Missing KC-08 — halves iterations but still O(n^2) structure,KC-08_Debugging
,,,,,,,Fill in the blanks,"Complete the efficient single-pass solution for n up to 10^5.

def compareProductRatings(n, ratings, standard):
    better = 0
    worse = 0
    ____
        if rating > standard:
            better += 1
        elif rating < standard:
            worse += 1
    ...",for rating in ratings: for _ in range(n):,for rating in ratings: [correct],for i in range(n): for rating in ratings:,None of the above,Missing KC-08 — pointless inner loop makes it O(n^2),Demonstrates KC-08 mastery,Missing KC-08 — nested loop is O(n^2),Missing KC-08 — pop() destroys the input array,
,,,,,,,Reading question,"For n up to 10^5, what is the expected time complexity of the intended single-pass solution?",O(1),O(log n),O(n) [correct],None of the above,No understanding,Missing KC-08 — wrong complexity class,Demonstrates KC-08 mastery,"Missing KC-08 — nested loop complexity, too slow",
,,,,,,,Debugging the question,"This code is logically correct but TLEs on n=10^5. What is the root cause?

for rating in ratings:
    for other in ratings:
        if rating > standard:
            better += 1",The comparison operator is wrong,"The nested loop runs n x n = 10^10 iterations — each element only needs one comparison with standard, not once per other element [correct]",Should use a while loop instead of for,None of the above,Missing KC-08 — misidentifies the issue,Demonstrates KC-08 mastery,No understanding,Missing KC-08 — wrong layer of the problem,
,,,,,,,Tweaking the code,"The solution below makes two separate passes through ratings. Merge them into a single pass.

def compareProductRatings(n, ratings, standard):
    better = sum(1 for r in ratings if r > standard)
    worse = sum(1 for r in ratings if r < standard)
    if better > worse:
        return ""better""
    elif worse > better:
        return ""worse""
    else:
        return ""equal""",Replace both sum lines with one loop: better=0; worse=0; for rating in ratings: if rating>standard: better+=1 elif rating<standard: worse+=1 [correct],Combine into: total = sum(1 for r in ratings if r != standard),Add ratings = sorted(ratings) before the sum lines,None of the above,Demonstrates KC-08 mastery,Missing KC-08 — total loses directional info (cannot distinguish better from worse),"Missing KC-08 — adds unnecessary O(n log n) sort, still two passes","Missing KC-08 — still two passes, just different syntax",
,,KC-09,Edge case identification,"Identify and correctly handle edge cases: all ratings equal standard (both counts=0 → return 'equal'), n=1, all ratings above or below, and negative values. The general loop handles all these without special guards.","(a) Add guard if n==0: return 'equal' — constraint guarantees n>=1, unnecessary
(b) Add guard if all(r==standard...): return 'equal' — loop already handles this
(c) Add separate logic for negative ratings — comparison operators work for negatives
(d) Recognize the general loop handles all valid edge cases correctly [correct]","Student adds unnecessary guard for n=0 when constraint says n>=1
Student adds redundant all-equal check before the loop
Student thinks negative numbers need special handling beyond the standard comparison",Fixing bug,"For ratings=[5, 5, 5], standard=5, code returns ""better"" instead of ""equal"". Select the fix.

def compareProductRatings(n, ratings, standard):
    better = 0
    worse = 0
    for rating in ratings:
        if rating > standard:
            better += 1
        elif rating < standard:
            worse += 1
    if better >= worse:
        return ""better""
    else:
        return ""worse""","Change to if better > worse: return ""better"" elif worse > better: return ""worse"" else: return ""equal"" [correct]","Add a special guard: if all(r == standard for r in ratings): return ""equal""",Initialize better = -1 before the loop,None of the above,Demonstrates KC-09 mastery,Missing KC-09 — adds redundant check; the corrected three-way conditional already handles this,"Missing KC-09 — wrong fix, changes counter meaning","Missing KC-09 — skips data, makes problem worse",KC-09_Tweaking the code
,,,,,,,Fill in the blanks,"For ratings=[standard, standard, standard] (all elements equal to standard), after the loop: better = ____, worse = ____, so the function returns ____.","n, 0, and 'better'","0, 0, and 'equal' [correct]","0, n, and 'worse'",None of the above,Missing KC-09 — equal ratings incorrectly counted as better,Demonstrates KC-09 mastery,Missing KC-09 — equal ratings incorrectly counted as worse,Missing KC-09 — equal ratings counted in both counters,
,,,,,,,Reading question,"For ratings=[-3, -1, -5], standard=-3, what does the function return? (-3 equals standard; -1 > -3; -5 < -3)","""better""","""worse""","""equal"" [correct]",None of the above,Missing KC-09 — misreads negative comparison,Missing KC-09 — misreads negative comparison,Demonstrates KC-09 mastery,Missing KC-09 — comparison operators work correctly for all integers,
,,,,,,,Debugging the question,"For ratings=[7], n=1, standard=7, a student added a guard that returns ""better"" for single-element inputs. Code returns ""better"" instead of ""equal"". Identify the incorrect guard.

def compareProductRatings(n, ratings, standard):
    if n == 1:
        return ""better""
    ...",The guard threshold should be n < 1,"The guard is completely wrong — a single element equal to standard should return ""equal"", processed by the general loop [correct]","Should return ""worse"" instead of ""better"" in the guard",None of the above,Missing KC-09 — partial; changes threshold but guard is still wrong concept,Demonstrates KC-09 mastery,"Missing KC-09 — same wrong guard, different string",Missing KC-09 — widens the wrong guard,
,,,,,,,Tweaking the code,"Remove unnecessary edge case guards. The general loop already handles all valid inputs correctly.

def compareProductRatings(n, ratings, standard):
    if n == 0:
        return 'equal'
    if all(r == standard for r in ratings):
        return 'equal'
    better = 0
    worse = 0
    for rating in ratings:
        if rating > standard:
            better += 1
        elif rating < standard:
            worse += 1
    ...","Remove both guards — the loop produces better=0, worse=0 for all-equal inputs and n>=1 is guaranteed by constraints [correct]",Keep the all() check but remove the n==0 guard,Keep the n==0 guard but remove the all() check,None of the above,Demonstrates KC-09 mastery,Missing KC-09 — all() check is still redundant,Missing KC-09 — n==0 guard is still unnecessary (n>=1 guaranteed),Missing KC-09 — new guard is still wrong for single elements,
,,KC-10,How to approach the question,"Recognize this as a single-pass counting problem: iterate through ratings, compare each element against the given standard parameter (not a computed mean), count better and worse separately, then compare counts to return the result string.","(a) Sort ratings and use index-based logic — unnecessary, order does not matter
(b) Compute mean of ratings and compare with standard parameter — standard is already given
(c) Nested loops comparing every pair — wrong and O(n^2)
(d) One pass comparing each rating against the given standard, counting better and worse [correct]","Student sorts ratings thinking order affects counting
Student computes mean from ratings using sum/n instead of using the given standard parameter
Student uses nested loop comparing ratings against each other instead of against standard",Fixing bug,"For ratings=[4, 4, 4], standard=3, code returns ""equal"" instead of ""better"". The student computed the standard instead of using the parameter. Select the fix.

def compareProductRatings(n, ratings, standard):
    computed = sum(ratings) / n
    better = sum(1 for r in ratings if r > computed)
    worse = sum(1 for r in ratings if r < computed)",Replace computed with the given standard parameter in both comparisons [correct],Change sum(ratings) / n to sum(ratings) // n (integer division),Add round() to the computed value,None of the above,Demonstrates KC-10 mastery,Missing KC-10 — still computing standard from ratings,"Missing KC-10 — still computing from ratings, rounding does not fix wrong approach",Missing KC-10 — still computing from ratings,KC-10_Reading question
,,,,,,,Fill in the blanks,"Complete the blank with the correct value each rating should be compared against.

for rating in ratings:
    if rating > ____:
        better += 1
    elif rating < ____:
        worse += 1",sum(ratings) / n,standard [correct],ratings[0],None of the above,Missing KC-10 — computes standard from data instead of using the parameter,Demonstrates KC-10 mastery,"Missing KC-10 — compares against first element, not the given standard","Missing KC-10 — compares against count, not the standard value",
,,,,,,,Reading question,Which statement correctly describes the intended approach for this problem?,Sort ratings and use the median value as the comparison threshold,Compute the arithmetic mean of ratings and compare it to the standard parameter,"Iterate through ratings once, count how many are strictly greater and strictly less than the given standard parameter, then compare those counts [correct]",None of the above,Missing KC-10 — sorting and median are irrelevant to this problem,"Missing KC-10 — standard is a given parameter, not to be recomputed",Demonstrates KC-10 mastery,Missing KC-10 — nested comparison is wrong and O(n^2),
,,,,,,,Debugging the question,"For ratings=[1,3,0,-1,4,3], n=6, standard=2, code returns wrong result. Identify the incorrect approach.

def compareProductRatings(n, ratings, standard):
    ratings.sort()
    better = sum(1 for r in ratings if r > standard)
    worse = n - better",ratings.sort() is the only issue,"worse = n - better incorrectly includes equal ratings in worse_count — equal ratings must be excluded from both, so worse must be counted separately with r < standard [correct]",sum() should be replaced with a for loop,None of the above,Missing KC-10 — sort is unnecessary but worse = n - better is the more critical bug,Demonstrates KC-10 mastery,"Missing KC-10 — sum() works fine, wrong diagnosis",Missing KC-10 — standard is used correctly in the comparison,
